Download Location,File Name,Version,Checksum,Maintainer
https://static.rust-lang.org/dist/rust-1.93.0-x86_64-unknown-linux-gnu.tar.gz,rust-1.93.0-x86_64-unknown-linux-gnu.tar.gz,1.93.0,ca55df589f7cd68eec883086c5ff63ece04a1820e6d23e514fbb412cc8bf77a4,https://www.rust-lang.org/governance
https://nodejs.org/dist/v20.19.0/node-v20.19.0-linux-x64.tar.gz,node-v20.19.0-linux-x64.tar.gz,20.19.0,8a4dbcdd8bccef3132d21e8543940557e55dcf44f00f0a99ba8a062f4552e722,https://nodejs.org/en/about/governance
http://snapshot.debian.org/archive/debian/20260710T202101Z/pool/main/a/alsa-utils/alsa-utils_1.2.8-1_amd64.deb,alsa-utils_1.2.8-1_amd64.deb,1.2.8-1,fb24eb1a318228b974efbef726190dd90c6106a208814a3ee8f5d69b91ee0ba4,Debian ALSA Maintainers <pkg-alsa-devel@lists.alioth.debian.org>
http://snapshot.debian.org/archive/debian/20260710T202101Z/pool/main/b/brightnessctl/brightnessctl_0.5.1-3_amd64.deb,brightnessctl_0.5.1-3_amd64.deb,0.5.1-3,e8a9fbe0a9c1818562dc34e0fe41f036a973d1a433332ba4c8e5fa973558f7eb,nicoo <nicoo@debian.org>
http://snapshot.debian.org/archive/debian/20260710T202101Z/pool/main/b/build-essential/build-essential_12.9_amd64.deb,build-essential_12.9_amd64.deb,12.9,bbfd38de41898a06326f2a6ce4cc43e8e399f5566381231065b01d70499d5ba5,Matthias Klose <doko@debian.org>
http://snapshot.debian.org/archive/debian/20260710T202101Z/pool/main/c/chromium/chromium_147.0.7727.137-1~deb12u1_amd64.deb,chromium_147.0.7727.137-1~deb12u1_amd64.deb,147.0.7727.137-1~deb12u1,5543295fe529fd7942ff75082ca2abcdd851ec1e1e6996db901ded1b7579488a,Debian Chromium Team <chromium@packages.debian.org>
http://snapshot.debian.org/archive/debian/20260710T202101Z/pool/main/c/chromium/chromium-common_147.0.7727.137-1~deb12u1_amd64.deb,chromium-common_147.0.7727.137-1~deb12u1_amd64.deb,147.0.7727.137-1~deb12u1,a7014dff1be6c36d210ffab694b3ed49048c468c77744d6c03270612b43318bb,Debian Chromium Team <chromium@packages.debian.org>
http://snapshot.debian.org/archive/debian/20260710T202101Z/pool/main/c/cloud-utils/cloud-guest-utils_0.33-1_all.deb,cloud-guest-utils_0.33-1_all.deb,0.33-1,d41d092d2bbf1edc6f44f3999f62f1cca7ec79e149e684c2bb86fb9765638c11,Debian Cloud Team <debian-cloud@lists.debian.org>
http://snapshot.debian.org/archive/debian/20260710T202101Z/pool/main/c/cryptsetup/cryptsetup_2.6.1-4~deb12u2_amd64.deb,cryptsetup_2%3a2.6.1-4~deb12u2_amd64.deb,2:2.6.1-4~deb12u2,bef82c749c2f03d1f8c51d51090074b87d06852874dd35b3a237cd889bce0371,Debian Cryptsetup Team <pkg-cryptsetup-devel@alioth-lists.debian.net>
http://snapshot.debian.org/archive/debian/20260710T202101Z/pool/main/c/cups/cups_2.4.2-3+deb12u9_amd64.deb,cups_2.4.2-3+deb12u9_amd64.deb,2.4.2-3+deb12u9,0725e135cda28560cfe316abe62d219c880b9fe473668e40666e08c5b1d3ec61,Debian Printing Team <debian-printing@lists.debian.org>
http://snapshot.debian.org/archive/debian/20260710T202101Z/pool/main/c/cups/cups-bsd_2.4.2-3+deb12u9_amd64.deb,cups-bsd_2.4.2-3+deb12u9_amd64.deb,2.4.2-3+deb12u9,6fe924912a6ccdbea01d76938e06d324614aa962c9dabcca38f751acca3501be,Debian Printing Team <debian-printing@lists.debian.org>
http://snapshot.debian.org/archive/debian/20260710T202101Z/pool/main/c/cups/cups-client_2.4.2-3+deb12u9_amd64.deb,cups-client_2.4.2-3+deb12u9_amd64.deb,2.4.2-3+deb12u9,a925ca3a9cd39f1a34ce74173b38a7e12cf363c5f614e311075bbef8c5035ef9,Debian Printing Team <debian-printing@lists.debian.org>
http://snapshot.debian.org/archive/debian/20260710T202101Z/pool/main/c/curl/curl_7.88.1-10+deb12u14_amd64.deb,curl_7.88.1-10+deb12u14_amd64.deb,7.88.1-10+deb12u14,e1b7edaa74085515f1837dbae792a9561de91c4b7ceab612807c72951a5af115,Alessandro Ghedini <ghedo@debian.org>
http://snapshot.debian.org/archive/debian/20260710T202101Z/pool/main/d/ddcutil/ddcutil_1.4.1-1_amd64.deb,ddcutil_1.4.1-1_amd64.deb,1.4.1-1,e7b67fa1b6300221f13142fc108d2c96977aa83d862cfb1824ae96929d5b4d45,Sanford Rockowitz <rockowitz@minsoft.com>
http://snapshot.debian.org/archive/debian/20260710T202101Z/pool/main/j/java-common/default-jdk_1.17-74_amd64.deb,default-jdk_2%3a1.17-74_amd64.deb,2:1.17-74,2e8a819d13ba186ff408777f52de8860cdad50aad63cd7100a3e4daffc06f6cd,Debian Java Maintainers <pkg-java-maintainers@lists.alioth.debian.org>
http://snapshot.debian.org/archive/debian/20260710T202101Z/pool/main/d/dosfstools/dosfstools_4.2-1_amd64.deb,dosfstools_4.2-1_amd64.deb,4.2-1,71b0471242f7bb777264cdab55c141f1fc043b443105633a38708e125f90c4ea,Andreas Bombe <aeb@debian.org>
http://snapshot.debian.org/archive/debian/20260710T202101Z/pool/main/e/efitools/efitools_1.9.2-3_amd64.deb,efitools_1.9.2-3_amd64.deb,1.9.2-3,4bf2deda8f3ac3ecc8b2801385484640ed98cd6e6aa2ed24bfca3b7ca0e083cd,Debian UEFI Maintainers <debian-efi@lists.debian.org>
http://snapshot.debian.org/archive/debian/20260710T202101Z/pool/main/e/exfatprogs/exfatprogs_1.2.0-1+deb12u1_amd64.deb,exfatprogs_1.2.0-1+deb12u1_amd64.deb,1.2.0-1+deb12u1,474abc44b9942f9df9b9d6885c221e1eb2190ee6c8e78758d5435b7288ca361d,Sven Hoexter <hoexter@debian.org>
http://snapshot.debian.org/archive/debian/20260710T202101Z/pool/main/u/util-linux/fdisk_2.38.1-5+deb12u3_amd64.deb,fdisk_2.38.1-5+deb12u3_amd64.deb,2.38.1-5+deb12u3,a7bf5a6fee968c3bebeb37b13396ed195c59459e4631271bb3acac0d9cf42491,util-linux packagers <util-linux@packages.debian.org>
